region,year,protesterviolence,participants_category,demand_political_behavior_process,demand_labor_wage_dispute,demand_police_brutality,demand_social_restrictions,demand_land_farm_issue,demand_politician_removal,demand_price_inc_tax_policy,response_category_2,response_category_3
South America,2017,0,>10000,1,0,0,0,0,0,0,0,0
South America,2017,1,>10000,1,0,0,0,0,0,0,1,2
South America,2017,0,100-999,1,0,0,0,0,0,0,1,2
South America,2017,0,100-999,1,0,0,0,0,0,0,0,0
South America,2017,0,100-999,0,0,0,1,0,0,0,0,0
South America,2018,0,50-99,0,1,0,0,0,0,0,0,0
South America,2018,0,50-99,0,1,0,0,0,0,0,0,0
South America,2019,0,50-99,0,0,0,0,0,1,0,1,2
South America,2019,0,50-99,1,0,0,0,0,1,0,0,1
South America,2019,1,100-999,1,0,0,0,0,1,0,0,0
South America,2019,0,>10000,1,0,0,0,0,1,0,1,2
South America,2019,0,2000-4999,1,0,0,0,0,1,0,1,2
South America,2019,0,>10000,1,0,0,0,0,1,0,0,0
South America,2019,0,50-99,1,0,0,0,0,0,0,1,2
South America,2019,1,1000-1999,1,0,0,0,0,1,0,1,2
South America,2019,0,2000-4999,1,0,0,0,0,1,0,0,1
South America,2019,0,100-999,1,0,0,0,0,1,0,0,0
South America,2019,0,100-999,1,0,0,0,0,0,0,0,0
South America,2019,1,2000-4999,1,0,0,0,0,0,0,0,1
South America,2019,1,5000-10000,1,0,0,0,0,0,0,0,1
South America,2020,1,2000-4999,1,0,0,0,0,0,0,0,1
South America,2014,1,100-999,1,0,0,0,0,0,0,1,2
South America,2014,0,50-99,1,0,0,0,0,0,0,0,0
South America,2014,1,100-999,1,0,0,0,0,0,0,0,0
South America,2015,0,50-99,0,1,0,0,0,0,0,0,0
South America,2015,1,50-99,1,0,0,0,0,0,0,0,1
South America,2016,1,50-99,1,0,0,0,0,0,0,1,2
South America,2017,0,2000-4999,0,0,0,0,0,0,1,0,0
South America,2014,0,100-999,1,0,0,0,0,0,0,0,0
South America,2015,0,2000-4999,1,1,0,0,1,0,0,0,0
South America,2015,0,2000-4999,0,0,0,0,0,1,0,0,0
